iso3,region,study,wave,year,cat,pct,n
BGD,South Asia,WVS,4,2002,antecedentes,3.7,1500
FRA,Western Europe,EVS,5,2008,antecedentes,14.4,1480
CHE,Western Europe,EVS,5,2008,antecedentes,18.5,1253
XNC,Western Europe,EVS,5,2008,antecedentes,22.8,490
LUX,Western Europe,EVS,5,2008,antecedentes,27.2,1535
DEU,Western Europe,EVS,5,2008,antecedentes,27.7,1861
BEL,Western Europe,EVS,5,2009,antecedentes,27.8,1501
SGP,Southeast Asia,WVS,4,2002,antecedentes,30.4,1512
ISL,Western Europe,EVS,5,2009,antecedentes,30.6,756
ESP,Western Europe,EVS,5,2008,antecedentes,33.4,1458
DNK,Western Europe,EVS,5,2008,antecedentes,35.5,1264
SVN,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,35.5,1309
NOR,Western Europe,EVS,5,2008,antecedentes,35.6,1078
PRI,Latin America,WVS,4,2001,antecedentes,36.2,720
PRT,Western Europe,EVS,5,2008,antecedentes,39.4,1516
FIN,Western Europe,EVS,5,2009,antecedentes,40.7,1088
GBR,Western Europe,EVS,5,2009,antecedentes,40.9,1500
ARG,Latin America,WVS,4,1999,antecedentes,43.3,1280
SWE,Western Europe,EVS,5,2009,antecedentes,43.6,1174
BRA,Latin America,WVS,3,1997,antecedentes,44.8,1143
AUS,"North America, Australia & New Zealand",WVS,3,1995,antecedentes,45.3,2048
CAN,"North America, Australia & New Zealand",WVS,4,2000,antecedentes,45.3,1931
AUT,Western Europe,EVS,5,2008,antecedentes,45.6,1453
ARM,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,46.9,1437
PER,Latin America,WVS,5,2006,antecedentes,47.2,1500
NIR,Western Europe,EVS,5,2008,antecedentes,47.4,439
IND,South Asia,WVS,4,2001,antecedentes,48.2,2002
VNM,Southeast Asia,WVS,4,2001,antecedentes,48.3,1000
JPN,East Asia,WVS,2,1990,antecedentes,49.7,1011
NLD,Western Europe,EVS,5,2008,antecedentes,50.1,1466
HUN,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,50.3,1504
TWN,East Asia,WVS,3,1998,antecedentes,51.4,780
ITA,Western Europe,EVS,5,2009,antecedentes,52.7,1427
NZL,"North America, Australia & New Zealand",WVS,5,2004,antecedentes,53.2,954
USA,"North America, Australia & New Zealand",WVS,4,1999,antecedentes,53.8,1200
ZAF,Sub-Saharan Africa,WVS,4,2001,antecedentes,53.9,3000
IDN,Southeast Asia,WVS,4,2001,antecedentes,55.7,1000
HKG,East Asia,WVS,5,2005,antecedentes,56.6,1224
PAK,South Asia,WVS,4,2001,antecedentes,57.9,2000
GRC,Western Europe,EVS,5,2008,antecedentes,58.4,1480
ROU,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,59.4,1381
UKR,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,60.4,1454
LVA,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,61.2,1474
DOM,Latin America,WVS,3,1996,antecedentes,62.4,417
CHL,Latin America,WVS,4,2000,antecedentes,62.5,1200
ALB,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,62.5,1488
COL,Latin America,WVS,3,1997,antecedentes,63.5,2996
MLT,Western Europe,EVS,5,2008,antecedentes,63.9,1459
CZE,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,63.9,1741
RUS,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,64.1,1457
IRL,Western Europe,EVS,5,2008,antecedentes,64.5,877
EST,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,64.7,1491
CYP,Western Europe,EVS,5,2008,antecedentes,65.1,973
MDA,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,66.2,1508
SVK,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,67.3,1413
KGZ,Eastern Europe & Central Asia,WVS,4,2003,antecedentes,68.1,1043
MAR,Middle East & North Africa,WVS,4,2001,antecedentes,68.3,1251
AZE,Eastern Europe & Central Asia,WVS,3,1997,antecedentes,68.5,2002
XKS,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,68.7,1550
URY,Latin America,WVS,3,1996,antecedentes,69.6,1000
MEX,Latin America,WVS,4,2000,antecedentes,69.6,1535
BLR,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,70.1,1466
DZA,Middle East & North Africa,WVS,4,2002,antecedentes,70.2,1282
POL,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,70.3,1431
SRB,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,70.5,1441
CHN,East Asia,WVS,4,2001,antecedentes,70.9,1000
MKD,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,71.3,1460
PHL,Southeast Asia,WVS,4,2001,antecedentes,71.7,1200
LTU,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,71.9,1490
HRV,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,72.6,1422
ZWE,Sub-Saharan Africa,WVS,4,2001,antecedentes,74.7,1002
VEN,Latin America,WVS,4,2000,antecedentes,77.2,1200
BGR,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,77.7,1458
SLV,Latin America,WVS,3,1999,antecedentes,78.2,1254
NGA,Sub-Saharan Africa,WVS,4,2000,antecedentes,78.7,2022
MNE,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,79.1,1482
GEO,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,79.9,1464
KOR,East Asia,WVS,4,2001,antecedentes,81.4,1200
TUR,Eastern Europe & Central Asia,EVS,5,2009,antecedentes,82.0,2287
BIH,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,82.5,1472
GTM,Latin America,WVS,5,2004,antecedentes,83.1,1000
SAU,Middle East & North Africa,WVS,4,2003,antecedentes,87.8,1502
UGA,Sub-Saharan Africa,WVS,4,2001,antecedentes,88.1,1002
TZA,Sub-Saharan Africa,WVS,4,2001,antecedentes,88.8,1171
JOR,Middle East & North Africa,WVS,4,2001,antecedentes,96.2,1223
EGY,Middle East & North Africa,WVS,4,2001,antecedentes,96.9,3000
IRQ,Middle East & North Africa,WVS,5,2006,antecedentes,98.3,2659
IRN,Middle East & North Africa,WVS,4,2000,antecedentes,98.7,2532
UZB,Eastern Europe & Central Asia,WVS,7,2022,bebedores,25.7,1250
XNC,Western Europe,EVS,5,2008,bebedores,27.5,489
NOR,Western Europe,EVS,7,2018,bebedores,29.4,1115
BRA,Latin America,WVS,7,2018,bebedores,30.0,1762
HTI,Latin America,WVS,6,2016,bebedores,30.5,1992
URY,Latin America,WVS,7,2022,bebedores,31.0,1000
PRI,Latin America,WVS,7,2018,bebedores,32.2,1127
DNK,Western Europe,EVS,7,2017,bebedores,34.4,3340
PRT,Western Europe,EVS,7,2020,bebedores,35.2,1186
ARG,Latin America,WVS,7,2017,bebedores,37.5,1003
BEL,Western Europe,EVS,5,2009,bebedores,38.7,1501
COL,Latin America,WVS,7,2018,bebedores,39.7,1520
IRL,Western Europe,EVS,5,2008,bebedores,40.5,853
FRA,Western Europe,EVS,7,2018,bebedores,40.9,1851
LUX,Western Europe,EVS,5,2008,bebedores,41.3,1560
NIC,Latin America,WVS,7,2020,bebedores,44.0,1200
SWE,Western Europe,EVS,7,2017,bebedores,46.2,1179
ITA,Western Europe,EVS,7,2018,bebedores,46.6,2171
MAC,East Asia,WVS,7,2019,bebedores,46.8,1015
VEN,Latin America,WVS,7,2021,bebedores,49.7,1190
LBN,Middle East & North Africa,WVS,7,2018,bebedores,50.0,1200
ESP,Western Europe,EVS,7,2017,bebedores,50.1,1186
ECU,Latin America,WVS,7,2018,bebedores,50.9,1200
RWA,Sub-Saharan Africa,WVS,6,2012,bebedores,51.9,1527
DOM,Latin America,WVS,3,1996,bebedores,54.7,417
BOL,Latin America,WVS,7,2017,bebedores,55.0,1800
XKS,Eastern Europe & Central Asia,EVS,5,2008,bebedores,55.1,1531
MEX,Latin America,WVS,7,2018,bebedores,55.3,1740
TTO,Caribbean,WVS,6,2010,bebedores,55.5,999
PAK,South Asia,WVS,7,2018,bebedores,56.5,1995
SVN,Eastern Europe & Central Asia,EVS,7,2017,bebedores,56.7,1060
SRB,Eastern Europe & Central Asia,EVS,7,2018,bebedores,56.7,1408
LBY,Middle East & North Africa,WVS,7,2022,bebedores,56.7,1196
GBR,Western Europe,WVS,7,2022,bebedores,56.8,2586
BIH,Eastern Europe & Central Asia,EVS,7,2019,bebedores,57.1,1682
MLT,Western Europe,EVS,5,2008,bebedores,57.2,1464
GTM,Latin America,WVS,7,2020,bebedores,57.4,1229
GRC,Western Europe,WVS,7,2017,bebedores,57.6,1196
IRQ,Middle East & North Africa,WVS,7,2018,bebedores,57.7,1200
NIR,Western Europe,WVS,7,2022,bebedores,58.7,446
CHL,Latin America,WVS,7,2018,bebedores,59.1,1000
ZAF,Sub-Saharan Africa,WVS,6,2013,bebedores,60.0,3531
HRV,Eastern Europe & Central Asia,EVS,7,2017,bebedores,60.1,1431
FIN,Western Europe,EVS,7,2017,bebedores,60.3,1199
GEO,Eastern Europe & Central Asia,EVS,7,2018,bebedores,60.3,2182
CHE,Western Europe,EVS,7,2017,bebedores,61.4,3144
AND,Western Europe,WVS,7,2018,bebedores,62.1,1004
KOR,East Asia,WVS,7,2018,bebedores,62.3,1245
IDN,Southeast Asia,WVS,7,2018,bebedores,62.5,3200
NZL,"North America, Australia & New Zealand",WVS,7,2020,bebedores,63.1,1057
ROU,Eastern Europe & Central Asia,EVS,7,2018,bebedores,63.7,1572
KEN,Sub-Saharan Africa,WVS,7,2021,bebedores,64.4,1231
HUN,Eastern Europe & Central Asia,EVS,7,2018,bebedores,64.5,1504
THA,Southeast Asia,WVS,7,2018,bebedores,64.6,1500
ZMB,Sub-Saharan Africa,WVS,5,2007,bebedores,64.7,1500
ZWE,Sub-Saharan Africa,WVS,7,2020,bebedores,65.1,1202
MLI,Sub-Saharan Africa,WVS,5,2007,bebedores,65.2,1534
CYP,Western Europe,WVS,7,2019,bebedores,65.5,970
AUT,Western Europe,EVS,7,2018,bebedores,65.7,1588
BFA,Sub-Saharan Africa,WVS,5,2007,bebedores,66.4,1534
PHL,Southeast Asia,WVS,7,2019,bebedores,67.0,1200
GHA,Sub-Saharan Africa,WVS,6,2012,bebedores,67.2,1552
TUN,Middle East & North Africa,WVS,7,2019,bebedores,69.1,1159
KWT,Middle East & North Africa,WVS,6,2014,bebedores,69.4,1303
ISL,Western Europe,EVS,7,2017,bebedores,69.8,1551
UGA,Sub-Saharan Africa,WVS,4,2001,bebedores,69.9,1002
PER,Latin America,WVS,7,2018,bebedores,70.3,1393
SGP,Southeast Asia,WVS,7,2020,bebedores,70.5,2012
LVA,Eastern Europe & Central Asia,EVS,7,2021,bebedores,71.2,1315
UKR,Eastern Europe & Central Asia,EVS,7,2020,bebedores,72.3,1569
DEU,Western Europe,WVS,7,2018,bebedores,73.2,1523
KGZ,Eastern Europe & Central Asia,WVS,7,2020,bebedores,73.2,1200
QAT,Middle East & North Africa,WVS,6,2010,bebedores,73.6,1060
AUS,"North America, Australia & New Zealand",WVS,7,2018,bebedores,74.1,1813
TUR,Eastern Europe & Central Asia,WVS,7,2018,bebedores,74.1,2365
POL,Eastern Europe & Central Asia,EVS,7,2017,bebedores,74.3,1239
USA,"North America, Australia & New Zealand",WVS,7,2017,bebedores,74.6,2435
LTU,Eastern Europe & Central Asia,EVS,7,2018,bebedores,75.0,1387
HKG,East Asia,WVS,7,2018,bebedores,75.8,2075
NLD,Western Europe,WVS,7,2022,bebedores,76.0,2057
MNG,East Asia,WVS,7,2020,bebedores,76.4,1638
NGA,Sub-Saharan Africa,WVS,7,2018,bebedores,77.2,1237
ETH,Sub-Saharan Africa,WVS,7,2020,bebedores,77.3,1220
RUS,Eastern Europe & Central Asia,EVS,7,2017,bebedores,77.7,1825
MAR,Middle East & North Africa,WVS,7,2021,bebedores,77.8,1200
CZE,Eastern Europe & Central Asia,WVS,7,2022,bebedores,77.8,1163
JPN,East Asia,WVS,7,2019,bebedores,78.2,1317
SVK,Eastern Europe & Central Asia,WVS,7,2022,bebedores,78.7,1173
TZA,Sub-Saharan Africa,WVS,4,2001,bebedores,78.8,1171
DZA,Middle East & North Africa,WVS,6,2014,bebedores,78.8,1200
MKD,Eastern Europe & Central Asia,EVS,7,2019,bebedores,79.5,1058
CAN,"North America, Australia & New Zealand",WVS,7,2020,bebedores,79.5,4018
PSE,Middle East & North Africa,WVS,6,2013,bebedores,79.7,1000
BGD,South Asia,WVS,7,2018,bebedores,79.9,1183
KAZ,Eastern Europe & Central Asia,WVS,7,2018,bebedores,80.0,1276
MNE,Eastern Europe & Central Asia,EVS,7,2019,bebedores,80.2,984
MDA,Eastern Europe & Central Asia,EVS,5,2008,bebedores,81.7,1535
ALB,Eastern Europe & Central Asia,EVS,7,2018,bebedores,82.5,1430
ARM,Eastern Europe & Central Asia,WVS,7,2021,bebedores,82.5,1207
MYS,Southeast Asia,WVS,7,2018,bebedores,82.9,1313
CHN,East Asia,WVS,7,2018,bebedores,83.6,3019
BGR,Eastern Europe & Central Asia,EVS,7,2017,bebedores,83.7,1504
AZE,Eastern Europe & Central Asia,EVS,7,2018,bebedores,84.6,1745
TJK,Eastern Europe & Central Asia,WVS,7,2020,bebedores,84.8,1200
IND,South Asia,WVS,7,2023,bebedores,85.1,1660
BLR,Eastern Europe & Central Asia,EVS,7,2018,bebedores,85.8,1538
YEM,Middle East & North Africa,WVS,6,2014,bebedores,86.3,1000
EST,Eastern Europe & Central Asia,EVS,7,2018,bebedores,86.6,1239
MDV,South Asia,WVS,7,2021,bebedores,87.4,1039
EGY,Middle East & North Africa,WVS,7,2018,bebedores,87.7,1200
TWN,East Asia,WVS,7,2019,bebedores,88.8,1223
SLV,Latin America,WVS,3,1999,bebedores,90.2,1254
IRN,Middle East & North Africa,WVS,7,2020,bebedores,90.4,1499
JOR,Middle East & North Africa,WVS,7,2018,bebedores,92.1,1203
MMR,Southeast Asia,WVS,7,2020,bebedores,93.8,1200
VNM,Southeast Asia,WVS,7,2020,bebedores,95.2,1200
ZAF,Sub-Saharan Africa,WVS,5,2006,blancos,9.2,2988
IRQ,Middle East & North Africa,WVS,5,2006,britanicos,90.2,2560
IRQ,Middle East & North Africa,WVS,5,2006,chiies,9.4,2651
CYP,Western Europe,EVS,5,2008,cristianos,0.0,994
MNE,Eastern Europe & Central Asia,EVS,7,2019,cristianos,0.0,978
SWE,Western Europe,EVS,7,2017,cristianos,0.4,1178
BEL,Western Europe,EVS,5,2009,cristianos,0.6,1501
DNK,Western Europe,EVS,7,2017,cristianos,0.6,3340
ARM,Eastern Europe & Central Asia,EVS,7,2018,cristianos,0.7,1497
AUT,Western Europe,EVS,7,2018,cristianos,0.7,1588
GBR,Western Europe,EVS,7,2018,cristianos,0.8,1782
TZA,Sub-Saharan Africa,WVS,4,2001,cristianos,0.9,1171
ISL,Western Europe,EVS,7,2017,cristianos,1.2,1551
POL,Eastern Europe & Central Asia,EVS,7,2017,cristianos,1.3,1239
GRC,Western Europe,EVS,5,2008,cristianos,1.5,1492
DEU,Western Europe,EVS,7,2017,cristianos,1.7,2085
NLD,Western Europe,EVS,7,2017,cristianos,1.8,2373
CHE,Western Europe,EVS,7,2017,cristianos,2.1,3144
FIN,Western Europe,EVS,7,2017,cristianos,2.4,1199
SVK,Eastern Europe & Central Asia,EVS,5,2008,cristianos,2.6,1458
FRA,Western Europe,EVS,7,2018,cristianos,2.7,1858
ALB,Eastern Europe & Central Asia,EVS,7,2018,cristianos,2.8,1427
LTU,Eastern Europe & Central Asia,EVS,5,2008,cristianos,2.9,1490
BLR,Eastern Europe & Central Asia,EVS,7,2018,cristianos,2.9,1530
NIR,Western Europe,EVS,5,2008,cristianos,3.1,425
MDA,Eastern Europe & Central Asia,EVS,5,2008,cristianos,3.5,1532
IRL,Western Europe,EVS,5,2008,cristianos,4.4,785
RUS,Eastern Europe & Central Asia,EVS,7,2017,cristianos,4.8,1825
LVA,Eastern Europe & Central Asia,EVS,7,2021,cristianos,5.4,1268
PRT,Western Europe,EVS,7,2020,cristianos,5.7,1187
NGA,Sub-Saharan Africa,WVS,3,1995,cristianos,6.7,1996
EST,Eastern Europe & Central Asia,EVS,7,2018,cristianos,6.9,1239
HRV,Eastern Europe & Central Asia,EVS,5,2008,cristianos,7.3,1366
ESP,Western Europe,EVS,7,2017,cristianos,9.2,1198
MKD,Eastern Europe & Central Asia,EVS,7,2019,cristianos,10.4,1052
MLT,Western Europe,EVS,5,2008,cristianos,11.0,1478
SRB,Eastern Europe & Central Asia,EVS,7,2018,cristianos,11.2,1415
BGR,Eastern Europe & Central Asia,EVS,7,2017,cristianos,11.5,1353
HUN,Eastern Europe & Central Asia,EVS,7,2018,cristianos,11.6,1494
LUX,Western Europe,EVS,5,2008,cristianos,12.1,1592
CZE,Eastern Europe & Central Asia,EVS,7,2017,cristianos,12.1,1592
XKS,Eastern Europe & Central Asia,EVS,5,2008,cristianos,15.6,1492
AZE,Eastern Europe & Central Asia,EVS,7,2018,cristianos,18.0,1683
UKR,Eastern Europe & Central Asia,EVS,7,2020,cristianos,18.1,1506
GEO,Eastern Europe & Central Asia,EVS,7,2018,cristianos,20.9,2187
ROU,Eastern Europe & Central Asia,EVS,7,2018,cristianos,23.7,1568
VNM,Southeast Asia,WVS,4,2001,cristianos,25.2,1000
BIH,Eastern Europe & Central Asia,EVS,7,2019,cristianos,26.3,1667
IRQ,Middle East & North Africa,WVS,5,2006,cristianos,30.7,2609
IRN,Middle East & North Africa,WVS,5,2007,cristianos,35.2,2659
XNC,Western Europe,EVS,5,2008,cristianos,54.6,489
TUR,Eastern Europe & Central Asia,EVS,5,2009,cristianos,62.3,2281
XNC,Western Europe,EVS,5,2008,drogadictos,25.3,487
PRT,Western Europe,EVS,7,2020,drogadictos,36.3,1186
PRI,Latin America,WVS,7,2018,drogadictos,44.3,1127
MAC,East Asia,WVS,7,2019,drogadictos,47.2,1018
PAK,South Asia,WVS,7,2018,drogadictos,52.5,1995
BEL,Western Europe,EVS,5,2009,drogadictos,55.0,1501
LUX,Western Europe,EVS,5,2008,drogadictos,55.3,1562
NOR,Western Europe,EVS,7,2018,drogadictos,56.7,1115
URY,Latin America,WVS,7,2022,drogadictos,57.2,1000
FRA,Western Europe,EVS,7,2018,drogadictos,57.6,1853
LBN,Middle East & North Africa,WVS,7,2018,drogadictos,58.4,1200
MLT,Western Europe,EVS,5,2008,drogadictos,59.2,1463
NIC,Latin America,WVS,7,2020,drogadictos,61.2,1200
ESP,Western Europe,EVS,7,2017,drogadictos,61.8,1191
GTM,Latin America,WVS,7,2020,drogadictos,62.7,1229
HTI,Latin America,WVS,6,2016,drogadictos,63.1,1991
ITA,Western Europe,EVS,7,2018,drogadictos,64.7,2194
SVN,Eastern Europe & Central Asia,EVS,7,2017,drogadictos,65.4,1054
IRQ,Middle East & North Africa,WVS,7,2018,drogadictos,66.1,1200
BRA,Latin America,WVS,7,2018,drogadictos,67.0,1762
DNK,Western Europe,EVS,7,2017,drogadictos,67.3,3340
TUN,Middle East & North Africa,WVS,7,2019,drogadictos,67.3,1114
BIH,Eastern Europe & Central Asia,EVS,7,2019,drogadictos,67.8,1684
CHE,Western Europe,EVS,7,2017,drogadictos,67.9,3143
GEO,Eastern Europe & Central Asia,EVS,7,2018,drogadictos,68.2,2183
ROU,Eastern Europe & Central Asia,EVS,7,2018,drogadictos,69.0,1571
DEU,Western Europe,WVS,7,2018,drogadictos,69.8,1523
XKS,Eastern Europe & Central Asia,EVS,5,2008,drogadictos,70.3,1551
GRC,Western Europe,WVS,7,2017,drogadictos,70.3,1196
COL,Latin America,WVS,7,2018,drogadictos,70.3,1520
SWE,Western Europe,EVS,7,2017,drogadictos,70.4,1179
HRV,Eastern Europe & Central Asia,EVS,7,2017,drogadictos,70.4,1448
DOM,Latin America,WVS,3,1996,drogadictos,70.5,417
HUN,Eastern Europe & Central Asia,EVS,7,2018,drogadictos,70.6,1503
ARG,Latin America,WVS,7,2017,drogadictos,72.3,1003
SRB,Eastern Europe & Central Asia,EVS,7,2018,drogadictos,72.9,1416
MNG,East Asia,WVS,7,2020,drogadictos,74.2,1638
AND,Western Europe,WVS,7,2018,drogadictos,74.9,1004
CYP,Western Europe,WVS,7,2019,drogadictos,75.9,979
ECU,Latin America,WVS,7,2018,drogadictos,76.0,1200
MLI,Sub-Saharan Africa,WVS,5,2007,drogadictos,76.3,1534
AUT,Western Europe,EVS,7,2018,drogadictos,77.2,1588
IRL,Western Europe,EVS,5,2008,drogadictos,77.3,915
MEX,Latin America,WVS,7,2018,drogadictos,77.3,1739
UKR,Eastern Europe & Central Asia,EVS,7,2020,drogadictos,77.3,1572
POL,Eastern Europe & Central Asia,EVS,7,2017,drogadictos,77.4,1239
GHA,Sub-Saharan Africa,WVS,6,2012,drogadictos,78.4,1552
NIR,Western Europe,WVS,7,2022,drogadictos,79.2,446
NZL,"North America, Australia & New Zealand",WVS,7,2020,drogadictos,80.2,1057
TZA,Sub-Saharan Africa,WVS,4,2001,drogadictos,81.2,1171
BGD,South Asia,WVS,7,2018,drogadictos,81.5,1199
LVA,Eastern Europe & Central Asia,EVS,7,2021,drogadictos,82.1,1316
ZMB,Sub-Saharan Africa,WVS,5,2007,drogadictos,82.9,1500
GBR,Western Europe,WVS,7,2022,drogadictos,82.9,2586
MAR,Middle East & North Africa,WVS,7,2021,drogadictos,83.2,1200
BOL,Latin America,WVS,7,2017,drogadictos,83.3,1800
SGP,Southeast Asia,WVS,7,2020,drogadictos,83.6,2012
TTO,Caribbean,WVS,6,2010,drogadictos,83.9,999
DZA,Middle East & North Africa,WVS,6,2014,drogadictos,84.2,1200
KWT,Middle East & North Africa,WVS,6,2014,drogadictos,84.4,1303
LBY,Middle East & North Africa,WVS,7,2022,drogadictos,84.9,1196
MKD,Eastern Europe & Central Asia,EVS,7,2019,drogadictos,85.3,1070
PSE,Middle East & North Africa,WVS,6,2013,drogadictos,85.4,1000
PER,Latin America,WVS,7,2018,drogadictos,85.4,1393
KEN,Sub-Saharan Africa,WVS,7,2021,drogadictos,85.6,1231
ZAF,Sub-Saharan Africa,WVS,6,2013,drogadictos,85.7,3531
VEN,Latin America,WVS,7,2021,drogadictos,86.1,1190
FIN,Western Europe,EVS,7,2017,drogadictos,86.4,1199
BGR,Eastern Europe & Central Asia,EVS,7,2017,drogadictos,86.6,1526
UGA,Sub-Saharan Africa,WVS,4,2001,drogadictos,86.7,1002
CHL,Latin America,WVS,7,2018,drogadictos,86.8,1000
ZWE,Sub-Saharan Africa,WVS,7,2020,drogadictos,86.8,1202
ISL,Western Europe,EVS,7,2017,drogadictos,86.9,1550
RUS,Eastern Europe & Central Asia,EVS,7,2017,drogadictos,87.0,1825
SAU,Middle East & North Africa,WVS,4,2003,drogadictos,87.2,1502
IRN,Middle East & North Africa,WVS,7,2020,drogadictos,87.2,1499
MDA,Eastern Europe & Central Asia,EVS,5,2008,drogadictos,87.6,1514
UZB,Eastern Europe & Central Asia,WVS,7,2022,drogadictos,87.6,1250
BFA,Sub-Saharan Africa,WVS,5,2007,drogadictos,88.7,1534
THA,Southeast Asia,WVS,7,2018,drogadictos,88.8,1500
SLV,Latin America,WVS,3,1999,drogadictos,88.9,1254
HKG,East Asia,WVS,7,2018,drogadictos,89.2,2075
