iso3,region,task,n,d_implicito,cohens_d,explicito_pref,explicito_termometro
IND,South Asia,Age,3652.0,0.4,1.064,0.491,-0.147
BRA,Latin America,Age,8190.0,0.43,1.1,0.606,0.567
PRT,Western Europe,Age,2259.0,0.436,1.147,0.642,1.021
MEX,Latin America,Age,1349.0,0.44,1.163,0.563,0.058
COL,Latin America,Age,1144.0,0.445,1.168,0.499,-0.235
ISR,Middle East & North Africa,Age,1621.0,0.456,1.134,0.648,0.199
CAN,"North America, Australia & New Zealand",Age,31490.0,0.457,1.19,0.371,0.018
AUS,"North America, Australia & New Zealand",Age,17285.0,0.459,1.198,0.367,0.064
POL,Eastern Europe & Central Asia,Age,4062.0,0.46,1.214,0.205,-0.055
ZAF,Sub-Saharan Africa,Age,525.0,0.474,1.183,0.362,0.153
NOR,Western Europe,Age,1568.0,0.476,1.272,0.399,0.246
GBR,Western Europe,Age,35253.0,0.479,1.226,0.215,-0.076
IRL,Western Europe,Age,1524.0,0.481,1.286,0.412,0.059
CHN,East Asia,Age,5807.0,0.482,1.329,0.817,-0.351
SWE,Western Europe,Age,7682.0,0.487,1.291,0.429,0.135
ROU,Eastern Europe & Central Asia,Age,460.0,0.497,1.39,1.023,1.117
SRB,Eastern Europe & Central Asia,Age,474.0,0.5,1.296,0.859,0.814
KOR,East Asia,Age,4452.0,0.505,1.403,1.4,-0.961
ESP,Western Europe,Age,6903.0,0.506,1.333,0.608,0.105
TWN,East Asia,Age,1963.0,0.506,1.344,0.627,-0.717
DNK,Western Europe,Age,830.0,0.507,1.347,0.603,0.316
RUS,Eastern Europe & Central Asia,Age,2281.0,0.51,1.371,0.951,0.764
NLD,Western Europe,Age,2761.0,0.533,1.442,0.623,0.585
TUR,Eastern Europe & Central Asia,Age,2131.0,0.534,1.477,0.69,0.591
ARG,Latin America,Age,1439.0,0.535,1.434,0.76,0.511
JPN,East Asia,Age,9286.0,0.539,1.376,0.828,0.597
FRA,Western Europe,Age,12616.0,0.551,1.5,0.59,0.465
ITA,Western Europe,Age,4619.0,0.551,1.471,0.664,0.564
HUN,Eastern Europe & Central Asia,Age,3360.0,0.553,1.501,0.607,0.683
AUT,Western Europe,Age,1222.0,0.556,1.472,0.394,0.365
CHE,Western Europe,Age,1622.0,0.559,1.447,0.469,0.412
BEL,Western Europe,Age,1721.0,0.563,1.477,0.658,0.728
CZE,Eastern Europe & Central Asia,Age,733.0,0.573,1.528,0.737,0.45
DEU,Western Europe,Age,15029.0,0.586,1.571,0.445,0.395
CHN,East Asia,Body weight,6612.0,0.104,0.222,0.802,-0.889
IND,South Asia,Body weight,2675.0,0.172,0.373,0.667,0.257
TWN,East Asia,Body weight,1142.0,0.282,0.609,0.764,-0.717
KOR,East Asia,Body weight,4372.0,0.303,0.731,1.544,-0.63
RUS,Eastern Europe & Central Asia,Body weight,2557.0,0.309,0.693,1.219,1.548
ISR,Middle East & North Africa,Body weight,2584.0,0.332,0.717,1.08,1.533
SRB,Eastern Europe & Central Asia,Body weight,694.0,0.333,0.749,1.29,1.308
JPN,East Asia,Body weight,8063.0,0.338,0.693,1.089,1.578
COL,Latin America,Body weight,1065.0,0.341,0.819,0.781,0.017
BRA,Latin America,Body weight,9721.0,0.364,0.823,1.081,1.797
TUR,Eastern Europe & Central Asia,Body weight,2618.0,0.394,0.924,0.668,0.595
MEX,Latin America,Body weight,1892.0,0.395,0.98,1.038,0.608
ARG,Latin America,Body weight,1218.0,0.403,0.963,1.161,0.697
GBR,Western Europe,Body weight,35464.0,0.409,0.943,0.799,0.883
ROU,Eastern Europe & Central Asia,Body weight,467.0,0.409,0.969,1.236,1.634
PRT,Western Europe,Body weight,1541.0,0.417,0.983,0.817,1.236
ESP,Western Europe,Body weight,6125.0,0.444,1.111,0.992,0.657
IRL,Western Europe,Body weight,994.0,0.447,1.057,0.85,0.866
CAN,"North America, Australia & New Zealand",Body weight,35352.0,0.451,1.082,0.91,1.006
NLD,Western Europe,Body weight,3252.0,0.454,1.085,1.186,1.319
BEL,Western Europe,Body weight,1694.0,0.456,1.038,1.014,1.047
ZAF,Sub-Saharan Africa,Body weight,542.0,0.463,1.137,1.065,1.246
AUS,"North America, Australia & New Zealand",Body weight,16083.0,0.464,1.11,0.944,1.052
ITA,Western Europe,Body weight,6440.0,0.467,1.076,1.096,0.592
HUN,Eastern Europe & Central Asia,Body weight,4070.0,0.481,1.157,0.907,1.465
POL,Eastern Europe & Central Asia,Body weight,5295.0,0.484,1.168,0.908,1.518
FRA,Western Europe,Body weight,13479.0,0.493,1.249,1.235,1.667
NOR,Western Europe,Body weight,2636.0,0.509,1.246,0.723,1.161
SWE,Western Europe,Body weight,9105.0,0.525,1.305,0.988,1.34
CHE,Western Europe,Body weight,1669.0,0.527,1.236,0.944,1.476
AUT,Western Europe,Body weight,1669.0,0.535,1.27,0.659,1.075
DEU,Western Europe,Body weight,21844.0,0.573,1.408,0.764,1.172
DNK,Western Europe,Body weight,1164.0,0.586,1.504,1.207,1.694
CZE,Eastern Europe & Central Asia,Body weight,858.0,0.602,1.476,1.079,1.255
ARG,Latin America,Gender-Science,1843.0,0.249,0.563,0.091,0.847
IND,South Asia,Gender-Science,5966.0,0.258,0.655,0.132,1.421
ESP,Western Europe,Gender-Science,11547.0,0.289,0.654,0.089,1.071
MEX,Latin America,Gender-Science,2556.0,0.312,0.767,0.062,1.115
COL,Latin America,Gender-Science,1776.0,0.323,0.831,-0.128,1.547
BRA,Latin America,Gender-Science,11556.0,0.335,0.775,-0.242,1.513
PRT,Western Europe,Gender-Science,1422.0,0.35,0.788,-0.137,1.397
ZAF,Sub-Saharan Africa,Gender-Science,825.0,0.355,0.915,0.127,2.076
IRL,Western Europe,Gender-Science,2051.0,0.357,0.933,0.165,1.406
NLD,Western Europe,Gender-Science,3115.0,0.359,0.997,0.573,2.043
CAN,"North America, Australia & New Zealand",Gender-Science,46017.0,0.364,0.898,0.044,1.452
SRB,Eastern Europe & Central Asia,Gender-Science,731.0,0.371,0.754,-0.28,1.001
AUS,"North America, Australia & New Zealand",Gender-Science,31995.0,0.374,0.93,0.06,1.537
JPN,East Asia,Gender-Science,13744.0,0.383,0.918,-0.143,1.546
ITA,Western Europe,Gender-Science,7259.0,0.388,0.925,-0.115,0.752
KOR,East Asia,Gender-Science,5680.0,0.397,1.037,-0.382,1.322
TUR,Eastern Europe & Central Asia,Gender-Science,2972.0,0.397,0.939,-0.525,1.009
GBR,Western Europe,Gender-Science,53853.0,0.404,1.007,0.224,1.466
CZE,Eastern Europe & Central Asia,Gender-Science,1088.0,0.41,1.077,-0.037,1.488
SWE,Western Europe,Gender-Science,12815.0,0.422,1.089,-0.19,1.408
FRA,Western Europe,Gender-Science,19574.0,0.426,1.02,0.036,1.42
NOR,Western Europe,Gender-Science,2452.0,0.43,1.119,-0.212,1.396
BEL,Western Europe,Gender-Science,2003.0,0.433,1.213,0.108,1.375
POL,Eastern Europe & Central Asia,Gender-Science,6485.0,0.439,1.037,-0.201,1.681
RUS,Eastern Europe & Central Asia,Gender-Science,2443.0,0.447,1.246,0.126,1.188
AUT,Western Europe,Gender-Science,2252.0,0.448,1.107,0.04,1.057
CHE,Western Europe,Gender-Science,2993.0,0.451,1.133,0.073,1.298
ISR,Middle East & North Africa,Gender-Science,2964.0,0.452,1.11,-0.381,1.71
TWN,East Asia,Gender-Science,3487.0,0.459,1.269,-0.465,2.33
DEU,Western Europe,Gender-Science,11688.0,0.471,1.148,0.045,1.354
HUN,Eastern Europe & Central Asia,Gender-Science,3254.0,0.472,1.161,-0.291,1.771
DNK,Western Europe,Gender-Science,1725.0,0.489,1.197,0.001,2.286
CHN,East Asia,Gender-Science,7687.0,0.527,1.418,-0.065,2.676
ROU,Eastern Europe & Central Asia,Gender-Science,756.0,0.585,1.799,-0.335,-1.235
IND,South Asia,Nationality,2276.0,0.271,0.746,1.051,1.576
TWN,East Asia,Nationality,1773.0,0.29,0.765,1.143,2.516
CHN,East Asia,Nationality,6567.0,0.299,0.752,0.525,0.515
ZAF,Sub-Saharan Africa,Nationality,466.0,0.329,0.86,1.493,1.77
RUS,Eastern Europe & Central Asia,Nationality,2933.0,0.343,0.847,0.467,0.733
ROU,Eastern Europe & Central Asia,Nationality,317.0,0.369,1.051,0.601,0.584
HUN,Eastern Europe & Central Asia,Nationality,2641.0,0.377,0.998,0.905,0.784
MEX,Latin America,Nationality,915.0,0.377,0.983,1.396,2.761
BEL,Western Europe,Nationality,1604.0,0.378,1.068,1.35,1.567
SRB,Eastern Europe & Central Asia,Nationality,777.0,0.388,1.017,0.639,1.634
IRL,Western Europe,Nationality,1041.0,0.408,1.096,1.833,2.367
POL,Eastern Europe & Central Asia,Nationality,3552.0,0.41,1.15,0.9,1.118
GBR,Western Europe,Nationality,25737.0,0.415,1.123,1.646,1.684
COL,Latin America,Nationality,956.0,0.418,1.178,1.506,2.895
DEU,Western Europe,Nationality,14910.0,0.418,1.141,1.445,1.696
TUR,Eastern Europe & Central Asia,Nationality,2367.0,0.422,1.17,0.423,1.265
ESP,Western Europe,Nationality,3736.0,0.426,1.206,1.222,1.797
AUT,Western Europe,Nationality,1304.0,0.433,1.174,1.671,2.123
KOR,East Asia,Nationality,3681.0,0.442,1.267,1.068,1.531
ISR,Middle East & North Africa,Nationality,1137.0,0.444,1.177,1.523,1.145
JPN,East Asia,Nationality,7822.0,0.454,1.164,1.301,1.309
NLD,Western Europe,Nationality,1526.0,0.459,1.378,1.729,2.293
CHE,Western Europe,Nationality,1852.0,0.461,1.296,1.853,2.411
AUS,"North America, Australia & New Zealand",Nationality,12897.0,0.463,1.312,1.912,2.388
FRA,Western Europe,Nationality,10628.0,0.474,1.374,1.48,1.37
DNK,Western Europe,Nationality,822.0,0.486,1.413,1.966,2.386
NOR,Western Europe,Nationality,1780.0,0.488,1.39,1.689,2.545
PRT,Western Europe,Nationality,1208.0,0.498,1.455,1.612,1.369
CZE,Eastern Europe & Central Asia,Nationality,756.0,0.507,1.469,1.159,1.844
BRA,Latin America,Nationality,7864.0,0.515,1.405,0.899,0.845
SWE,Western Europe,Nationality,5459.0,0.516,1.477,1.719,2.351
ARG,Latin America,Nationality,1740.0,0.518,1.463,1.534,2.852
ITA,Western Europe,Nationality,4319.0,0.536,1.507,1.081,1.327
CAN,"North America, Australia & New Zealand",Nationality,24589.0,0.539,1.508,2.18,3.202
IND,South Asia,Race,3475.0,0.262,0.594,0.124,-0.107
SRB,Eastern Europe & Central Asia,Race,608.0,0.269,0.623,0.568,0.652
NLD,Western Europe,Race,5263.0,0.295,0.691,0.384,0.407
SWE,Western Europe,Race,13031.0,0.297,0.693,0.373,0.499
KOR,East Asia,Race,5750.0,0.305,0.775,0.817,-0.789
NOR,Western Europe,Race,2717.0,0.308,0.75,0.673,0.943
ZAF,Sub-Saharan Africa,Race,2205.0,0.314,0.676,0.252,0.145
GBR,Western Europe,Race,65261.0,0.333,0.766,0.194,0.199
BRA,Latin America,Race,14929.0,0.345,0.783,0.303,0.268
CHE,Western Europe,Race,2487.0,0.348,0.822,0.406,0.536
DNK,Western Europe,Race,2494.0,0.35,0.853,0.412,0.583
IRL,Western Europe,Race,1750.0,0.352,0.873,0.298,0.467
CAN,"North America, Australia & New Zealand",Race,73734.0,0.356,0.84,0.218,0.167
AUS,"North America, Australia & New Zealand",Race,28172.0,0.361,0.864,0.251,0.264
BEL,Western Europe,Race,8455.0,0.369,0.927,0.506,0.752
FRA,Western Europe,Race,15695.0,0.373,0.904,0.292,0.327
TUR,Eastern Europe & Central Asia,Race,2584.0,0.373,0.938,0.204,0.123
COL,Latin America,Race,1443.0,0.379,0.911,0.467,-0.022
AUT,Western Europe,Race,1595.0,0.381,0.91,0.379,0.459
DEU,Western Europe,Race,28200.0,0.381,0.92,0.341,0.368
POL,Eastern Europe & Central Asia,Race,5373.0,0.382,0.933,0.521,0.837
MEX,Latin America,Race,1237.0,0.384,0.961,0.517,0.457
RUS,Eastern Europe & Central Asia,Race,2530.0,0.407,1.029,0.917,1.231
ARG,Latin America,Race,1698.0,0.411,1.005,0.57,0.594
ESP,Western Europe,Race,10414.0,0.411,1.049,0.552,0.69
ISR,Middle East & North Africa,Race,1974.0,0.417,0.962,0.482,0.489
HUN,Eastern Europe & Central Asia,Race,2985.0,0.427,1.045,0.688,0.94
PRT,Western Europe,Race,2532.0,0.432,1.075,0.451,0.748
CHN,East Asia,Race,4360.0,0.436,1.172,0.767,0.505
TWN,East Asia,Race,1721.0,0.439,1.092,0.563,-0.129
ITA,Western Europe,Race,9480.0,0.47,1.156,0.474,0.534
ROU,Eastern Europe & Central Asia,Race,432.0,0.472,1.254,0.745,1.152
CZE,Eastern Europe & Central Asia,Race,1393.0,0.476,1.222,0.74,1.164
JPN,East Asia,Race,8702.0,0.489,1.17,0.556,0.599
TWN,East Asia,Sexuality,7573.0,-0.147,0.314,0.157,-0.524
JPN,East Asia,Sexuality,12430.0,0.054,0.108,0.876,1.118
CHN,East Asia,Sexuality,16868.0,0.088,0.198,0.972,1.472
FRA,Western Europe,Sexuality,24462.0,0.095,0.196,0.319,0.534
SWE,Western Europe,Sexuality,11039.0,0.122,0.25,0.319,0.375
TUR,Eastern Europe & Central Asia,Sexuality,3767.0,0.135,0.291,1.005,1.839
BRA,Latin America,Sexuality,15772.0,0.144,0.279,0.559,0.543
DEU,Western Europe,Sexuality,29276.0,0.148,0.297,0.455,0.528
DNK,Western Europe,Sexuality,1487.0,0.156,0.329,0.495,0.697
CHE,Western Europe,Sexuality,2515.0,0.162,0.333,0.492,0.793
AUT,Western Europe,Sexuality,2336.0,0.164,0.329,0.411,0.535
IRL,Western Europe,Sexuality,1295.0,0.181,0.388,0.214,0.076
NOR,Western Europe,Sexuality,3742.0,0.182,0.372,0.256,0.478
ESP,Western Europe,Sexuality,9730.0,0.184,0.395,0.38,0.256
CAN,"North America, Australia & New Zealand",Sexuality,41297.0,0.191,0.4,0.282,0.11
AUS,"North America, Australia & New Zealand",Sexuality,19688.0,0.21,0.432,0.237,0.028
GBR,Western Europe,Sexuality,41080.0,0.215,0.449,0.197,-0.003
KOR,East Asia,Sexuality,16244.0,0.217,0.494,0.668,0.16
CZE,Eastern Europe & Central Asia,Sexuality,1273.0,0.227,0.47,0.754,1.209
BEL,Western Europe,Sexuality,2725.0,0.253,0.563,0.612,0.73
ISR,Middle East & North Africa,Sexuality,3393.0,0.256,0.527,0.535,0.705
NLD,Western Europe,Sexuality,2985.0,0.261,0.552,0.357,0.633
COL,Latin America,Sexuality,1752.0,0.268,0.578,0.659,0.718
ITA,Western Europe,Sexuality,12054.0,0.273,0.572,0.511,0.914
RUS,Eastern Europe & Central Asia,Sexuality,5636.0,0.277,0.571,1.004,1.722
POL,Eastern Europe & Central Asia,Sexuality,9862.0,0.282,0.578,0.595,1.433
PRT,Western Europe,Sexuality,2327.0,0.284,0.611,0.803,1.853
HUN,Eastern Europe & Central Asia,Sexuality,6918.0,0.3,0.638,0.819,1.935
MEX,Latin America,Sexuality,2827.0,0.309,0.678,0.861,0.917
ZAF,Sub-Saharan Africa,Sexuality,669.0,0.312,0.631,0.612,0.802
IND,South Asia,Sexuality,2623.0,0.316,0.714,0.842,0.969
ROU,Eastern Europe & Central Asia,Sexuality,723.0,0.342,0.744,1.148,2.494
SRB,Eastern Europe & Central Asia,Sexuality,1149.0,0.415,0.892,1.129,2.194
ARG,Latin America,Sexuality,2000.0,0.451,1.032,1.092,1.314
NLD,Western Europe,Skin-tone,3152.0,0.272,0.646,0.426,0.447
SWE,Western Europe,Skin-tone,11087.0,0.296,0.705,0.359,0.49
DNK,Western Europe,Skin-tone,1178.0,0.313,0.776,0.322,0.395
NOR,Western Europe,Skin-tone,4230.0,0.34,0.827,0.362,0.561
BEL,Western Europe,Skin-tone,2600.0,0.344,0.851,0.529,0.662
BRA,Latin America,Skin-tone,12122.0,0.347,0.805,0.489,0.564
SRB,Eastern Europe & Central Asia,Skin-tone,471.0,0.352,0.932,0.517,0.708
CHE,Western Europe,Skin-tone,1597.0,0.354,0.852,0.356,0.431
KOR,East Asia,Skin-tone,3101.0,0.355,0.972,1.002,-1.05
GBR,Western Europe,Skin-tone,25838.0,0.368,0.876,0.21,0.208
POL,Eastern Europe & Central Asia,Skin-tone,3083.0,0.369,0.929,0.368,0.559
FRA,Western Europe,Skin-tone,12450.0,0.378,0.949,0.258,0.301
ZAF,Sub-Saharan Africa,Skin-tone,390.0,0.379,0.86,0.464,0.387
AUT,Western Europe,Skin-tone,1735.0,0.38,0.94,0.366,0.464
COL,Latin America,Skin-tone,1180.0,0.38,0.942,0.457,0.039
PRT,Western Europe,Skin-tone,2433.0,0.38,0.976,0.514,0.855
IRL,Western Europe,Skin-tone,691.0,0.382,0.929,0.417,0.587
MEX,Latin America,Skin-tone,2295.0,0.382,0.969,0.523,0.242
CAN,"North America, Australia & New Zealand",Skin-tone,30085.0,0.383,0.924,0.277,0.238
DEU,Western Europe,Skin-tone,19225.0,0.383,0.954,0.367,0.339
RUS,Eastern Europe & Central Asia,Skin-tone,1439.0,0.383,0.973,0.854,1.157
ESP,Western Europe,Skin-tone,4746.0,0.388,0.971,0.481,0.514
AUS,"North America, Australia & New Zealand",Skin-tone,11930.0,0.397,0.971,0.262,0.244
IND,South Asia,Skin-tone,2859.0,0.407,1.014,0.421,0.255
ARG,Latin America,Skin-tone,1541.0,0.409,0.986,0.588,0.597
HUN,Eastern Europe & Central Asia,Skin-tone,3536.0,0.43,1.096,0.715,1.111
TWN,East Asia,Skin-tone,574.0,0.432,1.223,0.665,-0.704
ISR,Middle East & North Africa,Skin-tone,1791.0,0.436,1.037,0.476,0.495
ROU,Eastern Europe & Central Asia,Skin-tone,332.0,0.45,1.144,0.684,1.21
ITA,Western Europe,Skin-tone,5940.0,0.453,1.154,0.435,0.413
CHN,East Asia,Skin-tone,4143.0,0.458,1.24,0.925,0.414
TUR,Eastern Europe & Central Asia,Skin-tone,1555.0,0.465,1.193,0.397,0.48
CZE,Eastern Europe & Central Asia,Skin-tone,960.0,0.508,1.311,0.749,1.067
JPN,East Asia,Skin-tone,5920.0,0.549,1.35,0.702,0.845
