iso3,year,raza,pct,n,n_pais_ronda
ARG,2009,asiatico,0.3,4,1095
ARG,2009,negro,0.9,9,1095
ARG,2009,indigena,2.2,24,1095
ARG,2009,mestizo,23.1,251,1095
ARG,2009,mulato,0.6,6,1095
ARG,2009,blanco,70.2,771,1095
ARG,2009,otra,2.8,30,1095
BOL,2009,asiatico,1.2,14,1149
BOL,2009,negro,0.3,3,1149
BOL,2009,indigena,29.3,337,1149
BOL,2009,mestizo,63.1,725,1149
BOL,2009,mulato,0.5,6,1149
BOL,2009,blanco,5.0,58,1149
BOL,2009,otra,0.5,6,1149
BRA,2009,asiatico,0.3,4,1177
BRA,2009,negro,15.0,176,1177
BRA,2009,indigena,2.9,34,1177
BRA,2009,mestizo,22.8,268,1177
BRA,2009,mulato,13.7,161,1177
BRA,2009,blanco,42.9,505,1177
BRA,2009,otra,2.5,29,1177
CHL,2009,asiatico,0.4,6,1137
CHL,2009,negro,0.2,1,1137
CHL,2009,indigena,7.8,77,1137
CHL,2009,mestizo,29.3,339,1137
CHL,2009,mulato,0.5,8,1137
CHL,2009,blanco,60.8,694,1137
CHL,2009,otra,1.0,12,1137
COL,2009,asiatico,0.9,11,1104
COL,2009,negro,7.5,83,1104
COL,2009,indigena,4.2,47,1104
COL,2009,mestizo,44.6,485,1104
COL,2009,mulato,6.9,75,1104
COL,2009,blanco,34.9,391,1104
COL,2009,otra,1.1,12,1104
CRI,2009,asiatico,1.0,10,968
CRI,2009,negro,1.7,16,968
CRI,2009,indigena,3.6,35,968
CRI,2009,mestizo,33.0,319,968
CRI,2009,mulato,12.8,124,968
CRI,2009,blanco,46.8,453,968
CRI,2009,otra,1.1,11,968
DOM,2009,asiatico,1.4,14,983
DOM,2009,negro,25.5,251,983
DOM,2009,indigena,6.5,64,983
DOM,2009,mestizo,27.1,266,983
DOM,2009,mulato,28.3,278,983
DOM,2009,blanco,11.1,109,983
DOM,2009,otra,0.1,1,983
ECU,2009,asiatico,0.3,3,1159
ECU,2009,negro,2.4,28,1159
ECU,2009,indigena,6.9,80,1159
ECU,2009,mestizo,79.7,924,1159
ECU,2009,mulato,4.1,47,1159
ECU,2009,blanco,6.4,74,1159
ECU,2009,otra,0.3,3,1159
GTM,2009,asiatico,1.5,15,962
GTM,2009,negro,1.4,13,962
GTM,2009,indigena,44.3,415,962
GTM,2009,mestizo,35.3,347,962
GTM,2009,mulato,2.3,22,962
GTM,2009,blanco,13.6,134,962
GTM,2009,otra,1.6,16,962
HND,2009,asiatico,0.6,5,898
HND,2009,negro,3.2,30,898
HND,2009,indigena,10.4,85,898
HND,2009,mestizo,61.4,560,898
HND,2009,mulato,1.8,19,898
HND,2009,blanco,18.8,169,898
HND,2009,otra,3.9,30,898
MEX,2009,asiatico,0.4,4,939
MEX,2009,negro,0.2,2,939
MEX,2009,indigena,17.5,164,939
MEX,2009,mestizo,71.5,671,939
MEX,2009,mulato,2.0,19,939
MEX,2009,blanco,5.8,54,939
MEX,2009,otra,2.7,25,939
NIC,2009,asiatico,0.9,8,904
NIC,2009,negro,5.6,49,904
NIC,2009,indigena,6.2,56,904
NIC,2009,mestizo,74.1,671,904
NIC,2009,mulato,4.3,38,904
NIC,2009,blanco,8.4,76,904
NIC,2009,otra,0.7,6,904
PAN,2009,asiatico,2.6,25,972
PAN,2009,negro,11.2,109,972
PAN,2009,indigena,4.1,40,972
PAN,2009,mestizo,57.9,563,972
PAN,2009,mulato,4.8,47,972
PAN,2009,blanco,18.7,182,972
PAN,2009,otra,0.6,6,972
PER,2009,asiatico,0.2,2,1105
PER,2009,negro,2.4,27,1105
PER,2009,indigena,9.2,102,1105
PER,2009,mestizo,76.2,842,1105
PER,2009,mulato,1.5,17,1105
PER,2009,blanco,7.6,84,1105
PER,2009,otra,2.8,31,1105
PRY,2009,asiatico,0.1,1,969
PRY,2009,negro,1.0,9,969
PRY,2009,indigena,1.6,17,969
PRY,2009,mestizo,44.6,424,969
PRY,2009,mulato,2.3,19,969
PRY,2009,blanco,46.1,453,969
PRY,2009,otra,4.5,46,969
SLV,2009,asiatico,1.8,15,843
SLV,2009,negro,1.1,9,843
SLV,2009,indigena,5.6,48,843
SLV,2009,mestizo,75.6,636,843
SLV,2009,mulato,2.7,23,843
SLV,2009,blanco,12.3,104,843
SLV,2009,otra,0.9,8,843
URY,2009,asiatico,0.4,4,1101
URY,2009,negro,2.3,25,1101
URY,2009,indigena,0.5,6,1101
URY,2009,mestizo,6.1,67,1101
URY,2009,mulato,2.2,24,1101
URY,2009,blanco,85.8,945,1101
URY,2009,otra,2.7,30,1101
VEN,2009,asiatico,2.3,25,1146
VEN,2009,negro,5.2,62,1146
VEN,2009,indigena,6.9,71,1146
VEN,2009,mestizo,32.6,396,1146
VEN,2009,mulato,24.0,271,1146
VEN,2009,blanco,28.6,315,1146
VEN,2009,otra,0.3,6,1146
ARG,2020,asiatico,0.2,3,867
ARG,2020,negro,0.5,5,867
ARG,2020,indigena,1.9,13,867
ARG,2020,mestizo,27.9,222,867
ARG,2020,mulato,1.0,7,867
ARG,2020,blanco,65.8,599,867
ARG,2020,otra,2.7,18,867
BOL,2020,asiatico,0.4,4,941
BOL,2020,negro,1.8,17,941
BOL,2020,indigena,27.7,261,941
BOL,2020,mestizo,61.0,574,941
BOL,2020,mulato,1.0,9,941
BOL,2020,blanco,3.3,31,941
BOL,2020,otra,4.8,45,941
BRA,2020,asiatico,0.3,3,1129
BRA,2020,negro,28.2,318,1129
BRA,2020,indigena,3.1,35,1129
BRA,2020,mestizo,13.9,157,1129
BRA,2020,mulato,10.3,116,1129
BRA,2020,blanco,37.6,424,1129
BRA,2020,otra,6.7,76,1129
CHL,2020,asiatico,0.1,1,1032
CHL,2020,negro,0.1,2,1032
CHL,2020,indigena,6.8,86,1032
CHL,2020,mestizo,30.1,251,1032
CHL,2020,mulato,1.3,18,1032
CHL,2020,blanco,60.7,663,1032
CHL,2020,otra,0.9,11,1032
COL,2020,asiatico,0.3,3,1047
COL,2020,negro,9.5,90,1047
COL,2020,indigena,10.2,103,1047
COL,2020,mestizo,48.2,536,1047
COL,2020,mulato,5.7,60,1047
COL,2020,blanco,23.0,227,1047
COL,2020,otra,3.1,28,1047
CRI,2020,asiatico,0.5,4,855
CRI,2020,negro,4.2,36,855
CRI,2020,indigena,7.1,61,855
CRI,2020,mestizo,31.0,265,855
CRI,2020,mulato,16.1,138,855
CRI,2020,blanco,38.4,328,855
CRI,2020,otra,2.7,23,855
DOM,2020,asiatico,0.8,7,919
DOM,2020,negro,22.3,205,919
DOM,2020,indigena,12.3,113,919
DOM,2020,mestizo,24.6,226,919
DOM,2020,mulato,21.7,199,919
DOM,2020,blanco,16.9,155,919
DOM,2020,otra,1.5,14,919
ECU,2020,asiatico,0.2,2,1142
ECU,2020,negro,3.2,36,1142
ECU,2020,indigena,7.8,89,1142
ECU,2020,mestizo,80.0,914,1142
ECU,2020,mulato,2.9,33,1142
ECU,2020,blanco,3.4,39,1142
ECU,2020,otra,2.5,29,1142
GTM,2020,asiatico,0.4,3,767
GTM,2020,negro,0.7,5,767
GTM,2020,indigena,48.9,375,767
GTM,2020,mestizo,44.6,342,767
GTM,2020,mulato,0.3,2,767
GTM,2020,blanco,4.3,33,767
GTM,2020,otra,0.9,7,767
HND,2020,asiatico,0.3,3,793
HND,2020,negro,5.1,36,793
HND,2020,indigena,17.2,127,793
HND,2020,mestizo,43.1,358,793
HND,2020,mulato,5.1,41,793
HND,2020,blanco,19.3,157,793
HND,2020,otra,10.0,71,793
MEX,2020,asiatico,0.6,5,916
MEX,2020,negro,0.2,2,916
MEX,2020,indigena,20.2,176,916
MEX,2020,mestizo,65.5,610,916
MEX,2020,mulato,2.0,19,916
MEX,2020,blanco,9.6,87,916
MEX,2020,otra,1.9,17,916
NIC,2020,asiatico,0.4,3,748
NIC,2020,negro,6.5,49,748
NIC,2020,indigena,12.7,94,748
NIC,2020,mestizo,62.5,467,748
NIC,2020,mulato,3.2,24,748
NIC,2020,blanco,12.7,96,748
NIC,2020,otra,2.0,15,748
PAN,2020,asiatico,0.3,3,926
PAN,2020,negro,15.7,145,926
PAN,2020,indigena,21.4,198,926
PAN,2020,mestizo,39.4,365,926
PAN,2020,mulato,6.6,61,926
PAN,2020,blanco,14.7,136,926
PAN,2020,otra,1.9,18,926
PER,2020,asiatico,0.6,6,1088
PER,2020,negro,4.2,46,1088
PER,2020,indigena,8.6,94,1088
PER,2020,mestizo,73.0,794,1088
PER,2020,mulato,1.6,17,1088
PER,2020,blanco,9.3,101,1088
PER,2020,otra,2.8,30,1088
PRY,2020,asiatico,0.0,0,1059
PRY,2020,negro,0.8,8,1059
PRY,2020,indigena,1.5,16,1059
PRY,2020,mestizo,75.0,794,1059
PRY,2020,mulato,0.5,5,1059
PRY,2020,blanco,15.4,163,1059
PRY,2020,otra,6.9,73,1059
SLV,2020,asiatico,0.3,2,679
SLV,2020,negro,5.2,35,679
SLV,2020,indigena,17.2,117,679
SLV,2020,mestizo,57.4,390,679
SLV,2020,mulato,3.4,23,679
SLV,2020,blanco,15.3,104,679
SLV,2020,otra,1.2,8,679
URY,2020,asiatico,0.4,5,1116
URY,2020,negro,7.0,78,1116
URY,2020,indigena,4.4,49,1116
URY,2020,mestizo,14.9,166,1116
URY,2020,mulato,5.4,60,1116
URY,2020,blanco,65.8,734,1116
URY,2020,otra,2.2,24,1116
VEN,2020,asiatico,0.1,1,1128
VEN,2020,negro,11.6,130,1128
VEN,2020,indigena,6.1,68,1128
VEN,2020,mestizo,47.5,534,1128
VEN,2020,mulato,7.9,93,1128
VEN,2020,blanco,25.3,285,1128
VEN,2020,otra,1.5,17,1128
ARG,2023,asiatico,0.2,2,1033
ARG,2023,negro,0.7,7,1033
ARG,2023,indigena,2.6,28,1033
ARG,2023,mestizo,30.8,312,1033
ARG,2023,mulato,0.7,7,1033
ARG,2023,blanco,63.8,665,1033
ARG,2023,otra,1.2,12,1033
BOL,2023,asiatico,0.5,5,1084
BOL,2023,negro,1.1,12,1084
BOL,2023,indigena,31.5,342,1084
BOL,2023,mestizo,55.9,606,1084
BOL,2023,mulato,1.1,12,1084
BOL,2023,blanco,6.2,67,1084
BOL,2023,otra,3.7,40,1084
BRA,2023,asiatico,0.2,2,1144
BRA,2023,negro,25.2,288,1144
BRA,2023,indigena,2.7,31,1144
BRA,2023,mestizo,14.8,169,1144
BRA,2023,mulato,11.4,130,1144
BRA,2023,blanco,38.4,439,1144
BRA,2023,otra,7.4,85,1144
CHL,2023,asiatico,0.0,0,1083
CHL,2023,negro,0.7,10,1083
CHL,2023,indigena,3.9,43,1083
CHL,2023,mestizo,39.5,376,1083
CHL,2023,mulato,2.5,33,1083
CHL,2023,blanco,50.4,578,1083
CHL,2023,otra,3.1,43,1083
COL,2023,asiatico,0.4,4,1090
COL,2023,negro,8.7,96,1090
COL,2023,indigena,9.1,109,1090
COL,2023,mestizo,48.3,513,1090
COL,2023,mulato,4.3,47,1090
COL,2023,blanco,25.2,273,1090
COL,2023,otra,4.1,48,1090
CRI,2023,asiatico,0.6,5,899
CRI,2023,negro,3.9,35,899
CRI,2023,indigena,5.2,47,899
CRI,2023,mestizo,38.0,342,899
CRI,2023,mulato,14.3,129,899
CRI,2023,blanco,37.4,336,899
CRI,2023,otra,0.6,5,899
DOM,2023,asiatico,1.6,15,958
DOM,2023,negro,21.3,204,958
DOM,2023,indigena,11.3,108,958
DOM,2023,mestizo,24.5,235,958
DOM,2023,mulato,24.1,231,958
DOM,2023,blanco,15.6,149,958
DOM,2023,otra,1.7,16,958
ECU,2023,asiatico,0.1,1,1186
ECU,2023,negro,4.4,52,1186
ECU,2023,indigena,6.3,75,1186
ECU,2023,mestizo,78.4,930,1186
ECU,2023,mulato,3.0,36,1186
ECU,2023,blanco,6.7,79,1186
ECU,2023,otra,1.1,13,1186
GTM,2023,asiatico,0.2,2,930
GTM,2023,negro,1.7,16,930
GTM,2023,indigena,39.5,367,930
GTM,2023,mestizo,53.0,493,930
GTM,2023,mulato,0.3,3,930
GTM,2023,blanco,4.9,46,930
GTM,2023,otra,0.3,3,930
HND,2023,asiatico,0.6,4,873
HND,2023,negro,4.2,33,873
HND,2023,indigena,14.5,119,873
HND,2023,mestizo,49.3,451,873
HND,2023,mulato,5.3,45,873
HND,2023,blanco,23.0,195,873
HND,2023,otra,3.0,26,873
MEX,2023,asiatico,0.0,0,883
MEX,2023,negro,1.2,11,883
MEX,2023,indigena,23.8,192,883
MEX,2023,mestizo,57.0,516,883
MEX,2023,mulato,3.7,34,883
MEX,2023,blanco,13.2,121,883
MEX,2023,otra,1.1,9,883
PAN,2023,asiatico,0.5,5,942
PAN,2023,negro,15.5,146,942
PAN,2023,indigena,17.2,162,942
PAN,2023,mestizo,44.6,420,942
PAN,2023,mulato,5.7,54,942
PAN,2023,blanco,15.5,146,942
PAN,2023,otra,1.0,9,942
PER,2023,asiatico,0.4,4,1133
PER,2023,negro,2.7,31,1133
PER,2023,indigena,7.7,87,1133
PER,2023,mestizo,79.6,902,1133
PER,2023,mulato,1.5,17,1133
PER,2023,blanco,6.0,68,1133
PER,2023,otra,2.1,24,1133
PRY,2023,asiatico,0.7,7,1012
PRY,2023,negro,2.8,28,1012
PRY,2023,indigena,4.9,50,1012
PRY,2023,mestizo,59.6,603,1012
PRY,2023,mulato,1.2,12,1012
PRY,2023,blanco,27.8,281,1012
PRY,2023,otra,3.1,31,1012
SLV,2023,asiatico,0.4,3,708
SLV,2023,negro,5.8,41,708
SLV,2023,indigena,17.5,124,708
SLV,2023,mestizo,44.8,317,708
SLV,2023,mulato,4.7,33,708
SLV,2023,blanco,20.8,147,708
SLV,2023,otra,6.1,43,708
URY,2023,asiatico,0.7,8,1132
URY,2023,negro,6.9,78,1132
URY,2023,indigena,4.9,56,1132
URY,2023,mestizo,17.7,200,1132
URY,2023,mulato,3.8,43,1132
URY,2023,blanco,61.7,699,1132
URY,2023,otra,4.2,48,1132
VEN,2023,asiatico,1.9,6,1088
VEN,2023,negro,13.9,142,1088
VEN,2023,indigena,13.3,138,1088
VEN,2023,mestizo,38.4,442,1088
VEN,2023,mulato,5.6,62,1088
VEN,2023,blanco,25.6,281,1088
VEN,2023,otra,1.3,17,1088
ARG,2024,asiatico,0.1,1,1110
ARG,2024,negro,1.2,13,1110
ARG,2024,indigena,1.8,19,1110
ARG,2024,mestizo,33.1,362,1110
ARG,2024,mulato,1.1,10,1110
ARG,2024,blanco,60.7,685,1110
ARG,2024,otra,1.9,20,1110
BOL,2024,asiatico,0.6,6,1064
BOL,2024,negro,1.6,17,1064
BOL,2024,indigena,29.5,314,1064
BOL,2024,mestizo,59.1,629,1064
BOL,2024,mulato,1.1,12,1064
BOL,2024,blanco,3.9,42,1064
BOL,2024,otra,4.1,44,1064
BRA,2024,asiatico,0.3,3,1155
BRA,2024,negro,25.5,295,1155
BRA,2024,indigena,3.2,37,1155
BRA,2024,mestizo,14.0,162,1155
BRA,2024,mulato,11.1,128,1155
BRA,2024,blanco,39.7,459,1155
BRA,2024,otra,6.1,71,1155
CHL,2024,asiatico,0.1,1,1064
CHL,2024,negro,5.1,6,1064
CHL,2024,indigena,4.9,33,1064
CHL,2024,mestizo,31.8,340,1064
CHL,2024,mulato,1.4,18,1064
CHL,2024,blanco,54.0,629,1064
CHL,2024,otra,2.6,37,1064
COL,2024,asiatico,0.2,2,1092
COL,2024,negro,11.0,118,1092
COL,2024,indigena,7.9,87,1092
COL,2024,mestizo,47.7,520,1092
COL,2024,mulato,4.7,49,1092
COL,2024,blanco,25.6,283,1092
COL,2024,otra,3.0,33,1092
CRI,2024,asiatico,0.2,2,935
CRI,2024,negro,4.0,37,935
CRI,2024,indigena,5.1,48,935
CRI,2024,mestizo,38.2,357,935
CRI,2024,mulato,14.3,134,935
CRI,2024,blanco,36.8,344,935
CRI,2024,otra,1.4,13,935
DOM,2024,asiatico,2.0,19,964
DOM,2024,negro,21.7,209,964
DOM,2024,indigena,11.6,112,964
DOM,2024,mestizo,22.8,220,964
DOM,2024,mulato,23.3,225,964
DOM,2024,blanco,16.9,163,964
DOM,2024,otra,1.7,16,964
ECU,2024,asiatico,0.0,0,1195
ECU,2024,negro,3.2,38,1195
ECU,2024,indigena,5.6,67,1195
ECU,2024,mestizo,83.3,995,1195
ECU,2024,mulato,3.0,36,1195
ECU,2024,blanco,3.6,43,1195
ECU,2024,otra,1.3,16,1195
GTM,2024,asiatico,0.4,4,910
GTM,2024,negro,0.9,8,910
GTM,2024,indigena,42.2,384,910
GTM,2024,mestizo,50.3,458,910
GTM,2024,mulato,1.4,13,910
GTM,2024,blanco,3.7,34,910
GTM,2024,otra,1.0,9,910
HND,2024,asiatico,1.0,9,893
HND,2024,negro,5.8,52,893
HND,2024,indigena,15.3,137,893
HND,2024,mestizo,49.5,442,893
HND,2024,mulato,3.5,31,893
HND,2024,blanco,20.9,187,893
HND,2024,otra,3.9,35,893
MEX,2024,asiatico,0.2,2,981
MEX,2024,negro,1.1,10,981
MEX,2024,indigena,24.4,219,981
MEX,2024,mestizo,61.5,621,981
MEX,2024,mulato,2.3,20,981
MEX,2024,blanco,8.1,85,981
MEX,2024,otra,2.4,24,981
PAN,2024,asiatico,0.6,6,953
PAN,2024,negro,19.8,189,953
PAN,2024,indigena,15.9,152,953
PAN,2024,mestizo,44.8,427,953
PAN,2024,mulato,5.4,51,953
PAN,2024,blanco,12.1,115,953
PAN,2024,otra,1.4,13,953
PER,2024,asiatico,0.8,9,1083
PER,2024,negro,3.0,32,1083
PER,2024,indigena,6.0,65,1083
PER,2024,mestizo,78.5,850,1083
PER,2024,mulato,1.7,18,1083
PER,2024,blanco,7.3,79,1083
PER,2024,otra,2.8,30,1083
PRY,2024,asiatico,0.7,7,1035
PRY,2024,negro,4.6,48,1035
PRY,2024,indigena,4.6,48,1035
PRY,2024,mestizo,62.9,651,1035
PRY,2024,mulato,0.3,3,1035
PRY,2024,blanco,23.9,247,1035
PRY,2024,otra,3.0,31,1035
SLV,2024,asiatico,1.5,11,711
SLV,2024,negro,7.0,50,711
SLV,2024,indigena,20.4,145,711
SLV,2024,mestizo,44.6,317,711
SLV,2024,mulato,3.0,21,711
SLV,2024,blanco,18.0,128,711
SLV,2024,otra,5.5,39,711
URY,2024,asiatico,0.4,4,1130
URY,2024,negro,5.5,62,1130
URY,2024,indigena,4.2,47,1130
URY,2024,mestizo,14.0,158,1130
URY,2024,mulato,3.5,39,1130
URY,2024,blanco,69.6,787,1130
URY,2024,otra,2.9,33,1130
VEN,2024,asiatico,0.0,0,1114
VEN,2024,negro,7.3,81,1114
VEN,2024,indigena,5.9,66,1114
VEN,2024,mestizo,56.2,626,1114
VEN,2024,mulato,5.2,58,1114
VEN,2024,blanco,24.1,268,1114
VEN,2024,otra,1.3,15,1114
